Date,Open,High,Low,Close,Adj_Close,Volume
8/26/2016,26.852501,26.987499,26.577499,26.735001,25.073166,111065200
8/29/2016,26.655001,26.860001,26.5725,26.705,25.045031,99881200
8/30/2016,26.450001,26.625,26.375,26.5,24.852774,99455600
8/31/2016,26.415001,26.6425,26.41,26.525,24.876219,118649600
9/1/2016,26.535,26.700001,26.405001,26.682501,25.023932,106806000
9/2/2016,26.924999,27,26.705,26.932501,25.258389,107210000
9/6/2016,26.975,27.075001,26.877501,26.924999,25.251354,107521600
9/7/2016,26.9575,27.190001,26.7675,27.09,25.406099,169457200
9/8/2016,26.8125,26.817499,26.309999,26.379999,24.740232,212008000
9/9/2016,26.16,26.43,25.782499,25.782499,24.179869,186228000
9/12/2016,25.6625,26.43,25.6325,26.360001,24.721476,181171200
9/13/2016,26.877501,27.1975,26.809999,26.987499,25.309967,248704800
9/14/2016,27.182501,28.2575,27.15,27.942499,26.205605,443554800
9/15/2016,28.465,28.932501,28.372499,28.8925,27.09656,359934400
9/16/2016,28.780001,29.032499,28.51,28.73,26.944162,319547600
9/19/2016,28.797501,29.045,28.3125,28.395,26.62998,188092000
9/20/2016,28.262501,28.530001,28.127501,28.3925,26.627634,138057200
9/21/2016,28.4625,28.497499,28.110001,28.387501,26.622948,144012800
9/22/2016,28.5875,28.735001,28.5,28.655001,26.873819,124296000
9/23/2016,28.605,28.6975,27.887501,28.1775,26.426001,209924800
9/26/2016,27.91,28.3475,27.887501,28.219999,26.465858,119477600
9/27/2016,28.25,28.295,28.084999,28.272499,26.515097,98429600
9/28/2016,28.422501,28.66,28.3575,28.487499,26.716732,118564400
9/29/2016,28.290001,28.450001,27.950001,28.045,26.301737,143548000
9/30/2016,28.115,28.342501,27.950001,28.262501,26.50572,145516400
10/3/2016,28.1775,28.262501,28.07,28.129999,26.381449,86807200
10/4/2016,28.264999,28.577499,28.157499,28.25,26.49399,118947200
10/5/2016,28.35,28.415001,28.172501,28.262501,26.50572,85812400
10/6/2016,28.424999,28.584999,28.282499,28.4725,26.702663,115117200
10/7/2016,28.577499,28.639999,28.377501,28.514999,26.742517,97433600
10/10/2016,28.754999,29.1875,28.68,29.012501,27.209099,144944000
10/11/2016,29.424999,29.672501,29.049999,29.075001,27.267717,256164000
10/12/2016,29.3375,29.495001,29.1875,29.334999,27.511551,150347200
10/13/2016,29.1975,29.360001,28.93,29.245001,27.427145,140769600
10/14/2016,29.469999,29.5425,29.282499,29.407499,27.579544,142608800
