Date,Open,High,Low,Close,Adj_Close,Volume
8/26/2016,80.620003,81.139999,80.169998,80.57,77.978378,7932200
8/29/2016,80.540001,80.989998,80.540001,80.870003,78.26873,4766700
8/30/2016,81,81.190002,80.720001,81.169998,78.559082,4128700
8/31/2016,80.949997,81.199997,80.709999,80.900002,78.297775,7386100
9/1/2016,81.139999,81.550003,80.970001,81.300003,78.684914,6240600
9/2/2016,81.57,82.150002,81.5,82,79.362381,6408900
9/6/2016,82,82.529999,81.809998,82.529999,79.875328,8140400
9/7/2016,82.480003,83.260002,82.360001,83.239998,80.562508,9304700
9/8/2016,83.019997,83.629997,82.589996,82.970001,80.301163,7961100
9/9/2016,82.400002,82.809998,81.330002,81.330002,78.713936,11563000
9/12/2016,81.339996,83.129997,81.18,82.970001,80.301163,9882700
9/13/2016,82.410004,82.440002,81.620003,81.889999,79.255928,8834300
9/14/2016,81.459999,82.220001,81.449997,81.489998,78.868774,10999500
9/15/2016,81.419998,82.129997,81.190002,82.010002,79.372063,10580300
9/16/2016,81.739998,82.260002,81.419998,82.07,79.430122,11702000
9/19/2016,82.43,83.040001,82.230003,82.510002,79.85598,8361700
9/20/2016,82.970001,83.230003,82.32,82.480003,79.826942,6473300
9/21/2016,82.919998,83.25,82.269997,83.220001,80.543129,7536200
9/22/2016,83.419998,83.790001,83.199997,83.360001,80.678635,6599400
9/23/2016,83.330002,83.449997,82.519997,82.540001,79.885017,8283700
9/26/2016,82.150002,82.260002,81.690002,81.809998,79.17849,8486800
9/27/2016,81.790001,82.379997,81.5,82.160004,79.517242,7969500
9/28/2016,82.379997,83.010002,81.940002,82.970001,80.301163,7974300
9/29/2016,82.720001,83.059998,81.790001,81.919998,79.284981,5885400
9/30/2016,82.160004,83.040001,81.68,82.699997,80.039871,9776800
10/3/2016,82.419998,83.110001,82.300003,82.860001,80.194717,8155400
10/4/2016,83.279999,83.529999,82.580002,82.730003,80.068909,5772000
10/5/2016,82.959999,83.449997,82.900002,83.349998,80.668961,6163400
10/6/2016,83.120003,83.480003,82.879997,83.360001,80.678635,7687100
10/7/2016,83.489998,83.699997,82.639999,82.879997,80.214081,8238100
10/10/2016,83.129997,83.540001,82.940002,83.120003,80.446358,7371500
10/11/2016,82.68,82.790001,81.57,82.040001,79.4011,6227400
10/12/2016,81.839996,82.540001,81.82,82.25,79.60434,3923600
10/13/2016,81.650002,82.129997,81.110001,81.870003,79.236572,6810900
10/14/2016,82.040001,83.190002,82.040001,82.449997,79.797897,6698100
10/17/2016,82.580002,82.690002,82.040001,82.150002,79.507584,8473700
10/18/2016,81.5,82.370003,81.349998,81.580002,78.955894,11680400
10/19/2016,81.650002,82.870003,81.650002,82.809998,80.146339,8440900
10/20/2016,83.050003,83.099998,82.169998,82.5,79.846291,6945200
10/21/2016,82.019997,82.540001,81.580002,82.349998,79.701141,8043200
